usuario_id,ingreso_mensual,gasto_mensual_promedio,deuda_mensual,ahorro_mensual_estimado,porcentaje_gastos_ingreso,nivel_endeudamiento,porcentaje_ahorro_ingreso,frecuencia_ahorro,perfil_financiero,estado,ratio_gasto_ingreso,ratio_deuda_ingreso,ratio_ahorro_ingreso,margen_mensual_estimado,cantidad_transacciones,monto_total,monto_promedio_transaccion,monto_mediano,monto_maximo,desviacion_montos,cantidad_recurrentes,cantidad_transacciones_grandes,categorias_distintas,ratio_deuda_ingreso_calculado,ratio_gasto_ingreso_calculado,ratio_ahorro_ingreso_calculado
USR0001,3229.87,2790.94,548.36,438.93,86.41,16.98,13.59,Media,En riesgo,ACTIVO,0.8641028895899835,0.16977773099226906,0.1358971104100165,438.92999999999984,72,72249.7,1003.4680555555556,320.505,4604.18,1225.0567435626313,29,31,12,0.16977773099226906,0.8641028895899835,0.1358971104100165
USR0002,1612.95,1095.2,250.77,517.75,67.9,15.55,32.1,Alta,En observación,ACTIVO,0.6790043088750426,0.15547289128615271,0.32099569112495735,517.75,73,32497.82,445.17561643835614,193.98,1636.72,557.5786812140565,25,22,13,0.15547289128615271,0.6790043088750426,0.32099569112495735
USR0003,2075.64,1979.89,452.15,95.74,95.39,21.78,4.61,Baja,En riesgo,ACTIVO,0.9538696498429401,0.21783642635524464,0.046125532365920874,95.74999999999977,74,48666.33,657.6531081081081,420.92999999999995,2122.42,713.9468442876469,25,22,13,0.21783642635524464,0.9538696498429401,0.046125532365920874
USR0004,2773.62,1453.76,1368.23,1319.86,52.41,49.33,47.59,Alta,En riesgo,ACTIVO,0.5241381299529135,0.49330117319603983,0.47586187004708647,1319.86,74,50728.59,685.5214864864864,150.015,3591.21,1000.163291218239,23,29,13,0.49330117319603983,0.5241381299529135,0.47586187004708647
USR0005,3372.71,2630.73,532.98,741.99,78.0,15.8,22.0,Alta,En observación,ACTIVO,0.7800048032591003,0.15802722439818426,0.21999816171565298,741.98,75,72041.3,960.5506666666668,358.95,3423.08,1152.5457942749608,30,29,13,0.15802722439818426,0.7800048032591003,0.21999816171565298
USR0006,2768.13,1788.1,345.25,980.03,64.6,12.47,35.4,Alta,En observación,ACTIVO,0.64595954669759,0.12472318857857109,0.3540404533024099,980.0300000000002,77,54674.68,710.0607792207792,266.48,2659.92,874.5575000667875,30,30,15,0.12472318857857109,0.64595954669759,0.3540404533024099
USR0007,4042.8,3210.85,731.4,831.95,79.42,18.09,20.58,Alta,En observación,ACTIVO,0.7942144058573265,0.1809142178688038,0.2057855941426734,831.9500000000003,72,87043.79,1208.9415277777778,361.315,4147.12,1453.425123258907,29,30,10,0.1809142178688038,0.7942144058573265,0.2057855941426734
USR0008,4249.71,3429.11,720.42,820.59,80.69,16.95,19.31,Media,En observación,ACTIVO,0.8069044711286182,0.16952215562944295,0.19309317576964075,820.5999999999999,76,92145.86,1212.4455263157895,422.91499999999996,4236.84,1457.01972721799,25,29,13,0.16952215562944295,0.8069044711286182,0.19309317576964075
USR0009,2633.18,1020.45,153.97,1612.72,38.75,5.85,61.25,Alta,Saludable,ACTIVO,0.38753522356998005,0.058473025011582955,0.6124609787405343,1612.7299999999998,74,43843.57,592.4806756756757,130.675,2653.7,905.6850185361945,28,24,11,0.058473025011582955,0.38753522356998005,0.6124609787405343
USR0010,4826.97,3356.33,758.01,1470.64,69.53,15.7,30.47,Alta,En observación,ACTIVO,0.6953285394357122,0.15703640171784783,0.30467146056428773,1470.6400000000003,73,98199.53,1345.1990410958904,521.98,4914.67,1670.0656304229187,30,28,13,0.15703640171784783,0.6953285394357122,0.30467146056428773
USR0011,5962.05,4176.27,1011.48,1785.78,70.05,16.97,29.95,Alta,En observación,ACTIVO,0.7004755075854782,0.1696530555765215,0.29952449241452184,1785.7799999999997,75,121659.81999999999,1622.1309333333331,620.59,6046.55,2032.1449552130296,27,29,13,0.1696530555765215,0.7004755075854782,0.29952449241452184
USR0012,2395.29,1874.84,656.85,520.44,78.27,27.42,21.73,Alta,En observación,ACTIVO,0.7827194201954669,0.2742256678732012,0.21727640494470402,520.45,77,51241.53,665.4744155844156,273.83,3217.76,767.1996751215172,30,30,14,0.2742256678732012,0.7827194201954669,0.21727640494470402
USR0013,4876.05,3621.42,2569.28,1254.63,74.27,52.69,25.73,Alta,En riesgo,ACTIVO,0.7426954194481189,0.5269183047753817,0.25730458055188116,1254.63,72,101969.66,1416.2452777777778,844.935,4973.7,1708.167461563293,28,20,12,0.5269183047753817,0.7426954194481189,0.25730458055188116
USR0014,4733.35,4169.82,803.47,563.53,88.09,16.97,11.91,Media,En riesgo,ACTIVO,0.8809447854056851,0.16974658539934717,0.1190552145943148,563.5300000000007,75,106838.05,1424.5073333333335,674.85,7741.1,1774.6782282105917,28,25,14,0.16974658539934717,0.8809447854056851,0.1190552145943148
USR0015,1839.19,1219.52,120.53,619.67,66.31,6.55,33.69,Alta,En observación,ACTIVO,0.6630745056247587,0.06553428411420245,0.3369254943752412,619.6700000000001,76,36704.49,482.95381578947365,123.97999999999999,3227.25,710.9396268469255,29,27,14,0.06553428411420245,0.6630745056247587,0.3369254943752412
