usuario_id,ingreso_mensual,deuda_mensual,nivel_endeudamiento,gasto_mensual_promedio,ahorro_mensual_estimado,porcentaje_gastos_ingreso,frecuencia_ahorro,perfil_financiero,ratio_gasto_ingreso,ratio_deuda_ingreso,ratio_ahorro_ingreso,cantidad_transacciones,monto_total,monto_promedio_transaccion,monto_mediano,monto_maximo,desviacion_montos,cantidad_recurrentes,cantidad_transacciones_grandes,categorias_distintas,ratio_deuda_ingreso_calculado,ratio_gasto_ingreso_calculado,ratio_ahorro_ingreso_calculado
USR0001,3327.79,548.36,16.48,2852.36,-72.93,85.71,Nunca,En riesgo,0.8571334128655955,0.1647820325200809,-0.021915445385676382,76,74161.82,975.8134210526317,575.71,3311.94,1005.6782976910692,29,12,11,0.1647820325200809,0.8571334128655955,-0.021915445385676382
USR0002,1820.18,256.31,14.08,1043.14,520.73,57.31,Alta,Saludable,0.5730971662143305,0.1408157434978958,0.28608709028777374,80,34359.8,429.49750000000006,217.755,1634.89,520.8285293268405,23,14,13,0.1408157434978958,0.5730971662143305,0.28608709028777374
USR0003,2130.15,452.15,21.23,1865.04,-187.04,87.55,Nunca,En riesgo,0.8755439757763537,0.21226204727366615,-0.08780602305001994,74,47942.29,647.8687837837838,410.045,2115.37,659.4310796747195,20,12,11,0.21226204727366615,0.8755439757763537,-0.08780602305001994
USR0004,2704.72,1368.23,50.59,1482.93,-146.44,54.83,Nunca,En riesgo,0.5482748676387945,0.5058675204827118,-0.05414238812150611,75,50251.87,670.0249333333334,323.97,2752.39,890.405620919968,27,12,11,0.5058675204827118,0.5482748676387945,-0.05414238812150611
USR0005,3344.98,579.82,17.33,2631.47,133.69,78.67,Baja,En riesgo,0.786692297113884,0.17334034882121868,0.03996735406489725,72,71717.49,996.0762500000001,609.165,3427.83,1079.8449090187103,29,12,10,0.17334034882121868,0.786692297113884,0.03996735406489725
USR0006,2588.76,357.84,13.82,1710.19,520.72,66.06,Alta,En observación,0.6606213013180054,0.13822834098178277,0.20114649484695374,73,51587.41,706.6768493150686,389.16,2664.5,850.6091572087828,24,12,11,0.13822834098178277,0.6606213013180054,0.20114649484695374
USR0007,4044.26,780.53,19.3,3053.42,210.3,75.5,Baja,En observación,0.7550009148768873,0.1929969883241928,0.05199962415868416,72,85172.16,1182.9466666666667,719.04,4187.76,1313.0843704772171,30,12,10,0.1929969883241928,0.7550009148768873,0.05199962415868416
USR0008,4204.95,772.98,18.38,3455.21,-23.24,82.17,Nunca,En riesgo,0.8217006147516618,0.18382620483002177,-0.005526819581683492,74,91921.91,1242.187972972973,805.905,4254.25,1328.428236959238,25,12,11,0.18382620483002177,0.8217006147516618,-0.005526819581683492
USR0009,2744.05,153.97,5.61,1082.01,1508.07,39.43,Alta,Saludable,0.394311328146353,0.05611049361345456,0.5495781782401924,77,45912.67,596.2684415584415,251.8,2650.07,861.74384402404,31,15,12,0.05611049361345456,0.394311328146353,0.5495781782401924
USR0010,4920.88,774.28,15.73,3205.04,941.56,65.13,Media,En observación,0.6513143990505763,0.15734584058135942,0.19133976036806424,78,97510.98999999999,1250.1408974358974,710.28,4907.4,1544.2608258752632,26,12,12,0.15734584058135942,0.6513143990505763,0.19133976036806424
