usuario_id,ingreso_mensual,deuda_mensual,nivel_endeudamiento,gasto_mensual_promedio,ahorro_mensual_estimado,porcentaje_gastos_ingreso,frecuencia_ahorro,perfil_financiero
USR0001,3327.79,548.36,16.48,2852.36,-72.93,85.71,Nunca,En riesgo
USR0002,1820.18,256.31,14.08,1043.14,520.73,57.31,Alta,Saludable
USR0003,2130.15,452.15,21.23,1865.04,-187.04,87.55,Nunca,En riesgo
USR0004,2704.72,1368.23,50.59,1482.93,-146.44,54.83,Nunca,En riesgo
USR0005,3344.98,579.82,17.33,2631.47,133.69,78.67,Baja,En riesgo
USR0006,2588.76,357.84,13.82,1710.19,520.72,66.06,Alta,En observación
USR0007,4044.26,780.53,19.3,3053.42,210.3,75.5,Baja,En observación
USR0008,4204.95,772.98,18.38,3455.21,-23.24,82.17,Nunca,En riesgo
USR0009,2744.05,153.97,5.61,1082.01,1508.07,39.43,Alta,Saludable
USR0010,4920.88,774.28,15.73,3205.04,941.56,65.13,Media,En observación
USR0011,6013.07,1027.08,17.08,4031.29,954.69,67.04,Media,En observación
USR0012,2032.1,656.85,32.32,1748.74,-373.49,86.06,Nunca,En riesgo
USR0013,4940.16,2569.28,52.01,3742.88,-1372.0,75.76,Nunca,En riesgo
USR0014,4737.76,803.47,16.96,3952.96,-18.66,83.44,Nunca,En riesgo
USR0015,1786.48,135.75,7.6,1158.39,492.34,64.84,Alta,En observación
USR0016,2680.49,433.08,16.16,2045.83,201.58,76.32,Baja,En observación
USR0017,2810.74,1158.78,41.23,1564.99,86.97,55.68,Baja,En riesgo
USR0018,2517.73,477.64,18.97,1960.43,79.66,77.86,Baja,En riesgo
USR0019,1696.46,249.75,14.72,1424.73,21.98,83.98,Baja,En riesgo
USR0020,3676.89,415.81,11.31,3372.89,-111.82,91.73,Nunca,En riesgo
USR0021,4095.66,241.45,5.9,1668.09,2186.12,40.73,Alta,Saludable
USR0022,1369.2,196.3,14.34,944.48,228.42,68.98,Media,En observación
USR0023,3204.56,425.78,13.29,1896.94,881.84,59.2,Alta,Saludable
USR0024,1775.06,317.46,17.88,1291.18,166.41,72.74,Baja,En observación
USR0025,4518.84,1352.13,29.92,3480.49,-313.78,77.02,Nunca,En riesgo
USR0026,4689.02,1213.93,25.89,3918.6,-443.51,83.57,Nunca,En riesgo
USR0027,2219.26,1100.3,49.58,1637.89,-518.93,73.8,Nunca,En riesgo
USR0028,2899.73,117.51,4.05,2566.64,215.58,88.51,Baja,En observación
USR0029,5906.41,885.2,14.99,3303.2,1718.01,55.93,Alta,Saludable
USR0030,3293.17,515.35,15.65,1896.69,881.12,57.59,Alta,Saludable
USR0031,4418.26,35.79,0.81,1773.39,2609.09,40.14,Alta,Saludable
USR0032,2226.01,508.89,22.86,1561.27,155.86,70.14,Baja,En observación
USR0033,5661.55,1479.6,26.13,4970.23,-788.28,87.79,Nunca,En riesgo
USR0034,2189.49,292.57,13.36,1830.68,66.23,83.61,Baja,En riesgo
USR0035,4852.78,339.12,6.99,3391.37,1122.29,69.89,Alta,En observación
USR0036,2507.96,1299.03,51.8,1391.03,-182.1,55.46,Nunca,En riesgo
USR0037,2641.35,523.47,19.82,1690.67,427.21,64.01,Media,En observación
USR0038,3663.18,285.28,7.79,2364.32,1013.57,64.54,Alta,En observación
USR0039,3167.78,1333.52,42.1,2350.7,-516.44,74.21,Nunca,En riesgo
USR0040,2200.63,362.18,16.46,1626.83,211.62,73.93,Baja,En observación
USR0041,4691.47,840.39,17.91,2735.9,1115.18,58.32,Alta,Saludable
USR0042,4625.59,775.77,16.77,3132.65,717.17,67.72,Media,En observación
USR0043,3873.23,867.4,22.39,2813.02,192.81,72.63,Baja,En observación
USR0044,2379.52,990.92,41.64,1558.55,-169.96,65.5,Nunca,En riesgo
USR0045,3825.41,503.86,13.17,2026.57,1294.98,52.98,Alta,Saludable
USR0046,2455.9,132.03,5.38,1345.25,978.63,54.78,Alta,Saludable
USR0047,3563.24,418.56,11.75,2315.68,829.0,64.99,Alta,En observación
USR0048,2556.31,416.92,16.31,1580.09,559.3,61.81,Alta,En observación
USR0049,6893.7,16.89,0.25,3202.33,3674.47,46.45,Alta,Saludable
USR0050,2676.4,606.08,22.65,1977.32,93.0,73.88,Baja,En observación
USR0051,3431.79,874.54,25.48,2528.89,28.36,73.69,Baja,En observación
USR0052,4896.63,317.11,6.48,4989.29,-409.77,101.89,Nunca,En riesgo
USR0053,1999.95,239.33,11.97,1525.62,235.0,76.28,Media,En observación
USR0054,2684.73,1299.14,48.39,2046.85,-661.27,76.24,Nunca,En riesgo
USR0055,6003.15,158.18,2.63,3110.83,2734.14,51.82,Alta,Saludable
USR0056,3952.92,1348.4,34.11,3497.41,-892.89,88.48,Nunca,En riesgo
USR0057,3532.86,737.05,20.86,2783.18,12.63,78.78,Baja,En riesgo
USR0058,3165.04,1172.24,37.04,2179.49,-186.69,68.86,Nunca,En observación
USR0059,2572.33,307.02,11.94,1131.79,1133.52,44.0,Alta,Saludable
USR0060,6739.25,256.84,3.81,3506.49,2975.92,52.03,Alta,Saludable
USR0061,2608.64,989.23,37.92,1519.08,100.32,58.23,Baja,En observación
USR0062,2278.19,304.0,13.34,1262.51,711.68,55.42,Alta,Saludable
USR0063,3271.2,597.26,18.26,1989.37,684.57,60.81,Alta,En observación
USR0064,3486.21,287.26,8.24,3339.07,-140.12,95.78,Nunca,En riesgo
USR0065,3882.2,297.53,7.66,3677.31,-92.64,94.72,Nunca,En riesgo
USR0066,3239.73,1783.65,55.06,1413.3,42.77,43.62,Baja,En riesgo
USR0067,2682.09,986.18,36.77,1641.16,54.75,61.19,Baja,En observación
USR0068,1365.73,681.4,49.89,1068.15,-383.82,78.21,Nunca,En riesgo
USR0069,3161.5,627.36,19.84,2404.3,129.84,76.05,Baja,En riesgo
USR0070,6734.48,719.72,10.69,3883.06,2131.7,57.66,Alta,Saludable
USR0071,4892.09,520.8,10.65,2858.36,1512.93,58.43,Alta,Saludable
USR0072,4999.9,1890.08,37.8,3439.93,-330.11,68.8,Nunca,En observación
USR0073,5037.32,234.91,4.66,4430.27,372.14,87.95,Baja,En observación
USR0074,2523.72,466.43,18.48,1788.76,268.53,70.88,Media,En observación
USR0075,5777.17,421.99,7.3,3346.97,2008.21,57.93,Alta,Saludable
USR0076,1298.72,533.55,41.08,715.11,50.06,55.06,Baja,En riesgo
USR0077,1921.57,962.28,50.08,1433.51,-474.22,74.6,Nunca,En riesgo
USR0078,4688.9,1363.02,29.07,3115.66,210.22,66.45,Baja,En observación
USR0079,3892.0,503.84,12.95,1726.31,1661.86,44.36,Alta,Saludable
USR0080,3880.11,465.42,12.0,2915.14,499.55,75.13,Media,En observación
USR0081,4396.99,210.54,4.79,2190.36,1996.09,49.82,Alta,Saludable
USR0082,2418.62,371.76,15.37,2021.32,25.55,83.57,Baja,En riesgo
USR0083,3158.94,1184.11,37.48,2712.4,-737.57,85.86,Nunca,En riesgo
USR0084,3892.75,96.06,2.47,2022.88,1773.81,51.97,Alta,Saludable
USR0085,6222.34,412.86,6.64,5712.85,96.63,91.81,Baja,En riesgo
USR0086,3371.67,385.97,11.45,2900.07,85.62,86.01,Baja,En riesgo
USR0087,4542.17,360.19,7.93,1929.38,2252.59,42.48,Alta,Saludable
USR0088,1865.55,259.4,13.9,1268.38,337.77,67.99,Media,En observación
USR0089,4095.94,695.31,16.98,2453.05,947.58,59.89,Alta,Saludable
USR0090,2163.79,111.97,5.17,845.83,1205.99,39.09,Alta,Saludable
USR0091,1791.97,199.93,11.16,1103.15,488.88,61.56,Alta,En observación
USR0092,4779.02,447.2,9.36,2811.44,1520.38,58.83,Alta,Saludable
USR0093,5549.92,686.07,12.36,4781.17,82.69,86.15,Baja,En riesgo
USR0094,4101.81,737.59,17.98,2262.53,1101.69,55.16,Alta,Saludable
USR0095,3194.01,356.72,11.17,1850.3,986.99,57.93,Alta,Saludable
USR0096,6891.73,768.2,11.15,3639.34,2484.19,52.81,Alta,Saludable
USR0097,2653.61,175.74,6.62,1170.73,1307.13,44.12,Alta,Saludable
USR0098,3090.62,399.27,12.92,1787.58,903.78,57.84,Alta,Saludable
USR0099,4994.32,875.7,17.53,3750.87,367.75,75.1,Baja,En observación
USR0100,6507.81,1370.05,21.05,3933.79,1203.97,60.45,Media,En observación
USR0101,2313.99,221.11,9.56,1262.45,830.43,54.56,Alta,Saludable
USR0102,3978.33,280.64,7.05,2541.06,1156.63,63.87,Alta,En observación
USR0103,4422.92,2187.21,49.45,3307.5,-1071.78,74.78,Nunca,En riesgo
USR0104,1320.31,711.92,53.92,602.7,5.69,45.65,Baja,En riesgo
USR0105,1688.01,683.93,40.52,875.39,128.69,51.86,Baja,En riesgo
USR0106,1650.06,257.01,15.58,991.85,401.2,60.11,Alta,En observación
USR0107,2673.2,645.14,24.13,1979.36,48.71,74.04,Baja,En observación
USR0108,2662.75,422.6,15.87,1658.85,581.3,62.3,Alta,En observación
