usuario_id,ingreso_mensual,deuda_mensual,nivel_endeudamiento,gasto_mensual_promedio,ahorro_mensual_estimado,porcentaje_gastos_ingreso,frecuencia_ahorro,perfil_financiero
USR0001,4379.09,832.9,19.02,1114.31,2431.88,44.47,Alta,Saludable
USR0002,6100.14,968.09,15.87,1013.96,4118.09,32.49,Alta,Saludable
USR0003,4160.0,786.66,18.91,1708.73,1664.61,59.99,Alta,Saludable
USR0004,3609.86,1933.44,53.56,1306.01,370.41,89.74,Media,En riesgo
USR0005,1801.65,440.68,24.46,714.55,646.42,64.12,Alta,Saludable
USR0006,2503.88,481.5,19.23,973.28,1049.1,58.1,Alta,Saludable
USR0007,6992.69,1266.38,18.11,1689.47,4036.84,42.27,Alta,Saludable
USR0008,4725.11,1090.56,23.08,1842.78,1791.77,62.08,Alta,Saludable
USR0009,5436.63,1337.41,24.6,1139.7,2959.52,45.56,Alta,Saludable
USR0010,2188.53,522.4,23.87,947.7,718.43,67.17,Alta,Saludable
USR0011,3566.75,1555.1,43.6,1217.19,794.46,77.73,Alta,En observación
USR0012,4463.12,482.02,10.8,1140.04,2841.06,36.34,Alta,Saludable
USR0013,5108.3,838.27,16.41,1372.25,2897.78,43.27,Alta,Saludable
USR0014,4168.97,504.03,12.09,1469.28,2195.66,47.33,Alta,Saludable
USR0015,3582.38,1549.02,43.24,1326.44,706.92,80.27,Media,En observación
USR0016,4191.08,1734.27,41.38,927.59,1529.22,63.51,Alta,En observación
USR0017,5589.09,1804.72,32.29,1612.69,2171.68,61.14,Alta,En observación
USR0018,4941.93,1079.81,21.85,2146.42,1715.7,65.28,Alta,Saludable
USR0019,4784.12,2045.21,42.75,1426.2,1312.71,72.56,Alta,En observación
USR0020,1775.27,915.51,51.57,1332.72,0,126.64,Nunca,En riesgo
USR0021,3329.98,254.74,7.65,1648.94,1426.3,57.17,Alta,Saludable
USR0022,2070.0,387.92,18.74,863.61,818.47,60.46,Alta,Saludable
USR0023,1601.74,350.46,21.88,982.75,268.53,83.24,Media,En observación
USR0024,3607.51,1300.15,36.04,1136.84,1170.52,67.55,Alta,En observación
USR0025,3906.21,2009.35,51.44,1518.72,378.14,90.32,Baja,En riesgo
USR0026,5024.37,887.3,17.66,776.57,3360.5,33.12,Alta,Saludable
USR0027,6274.4,2412.51,38.45,1992.61,1869.28,70.21,Alta,En observación
USR0028,6810.44,2750.74,40.39,1236.39,2823.31,58.54,Alta,En observación
USR0029,6800.62,767.79,11.29,1913.0,4119.83,39.42,Alta,Saludable
USR0030,2814.49,1505.19,53.48,974.07,335.23,88.09,Media,En riesgo
USR0031,1326.88,674.19,50.81,1054.27,0,130.26,Nunca,En riesgo
USR0032,6480.32,484.08,7.47,2053.96,3942.28,39.17,Alta,Saludable
USR0033,2074.49,1045.13,50.38,823.46,205.9,90.07,Baja,En riesgo
USR0034,6766.33,3236.34,47.83,1421.11,2108.88,68.83,Alta,En riesgo
