transaction_id,usuario_id,fecha,descripcion,monto,moneda,categoria,recurrente,medio_pago,descripcion_limpia,anio,mes,trimestre,dia_semana,es_fin_de_semana,monto_log,longitud_descripcion,cantidad_palabras,recurrente_binario,es_gasto_grande
TX001925,USR0042,2026-06-28,Servicio de limpieza,1792.13,USD,Vivienda,No,Pago con QR,servicio de limpieza,2026,6,2,6,1,7.491717975159766,20,3,0,1
TX000182,USR0056,2025-10-19,Cena,200.0,USD,Alimentación,No,Débito automático,cena,2025,10,4,6,1,5.303304908059076,4,1,0,0
TX002502,USR0095,2026-04-13,Parque recreativo,8.25,USD,Ocio,No,Pago con QR,parque recreativo,2026,4,2,0,0,2.224623551524334,17,2,0,0
TX001868,USR0027,2025-08-24,Compra de muebles,175.95,USD,Vivienda,Sí,Billetera virtual,compra de muebles,2025,8,3,6,1,5.175867206791472,17,3,1,0
TX002539,USR0071,2026-05-08,Suscripción de música,82.79,USD,Ocio,No,Pago con QR,suscripcion de musica,2026,5,2,4,0,4.428313668625195,21,3,0,0
TX002865,USR0053,2026-01-24,Suscripción de música,162.3,USD,Ocio,No,Billetera virtual,suscripcion de musica,2026,1,1,5,1,5.095588999976419,21,3,0,0
TX001949,USR0020,2026-06-17,Seguro del hogar,1135.58,USD,Vivienda,Sí,Billetera virtual,seguro del hogar,2026,6,2,2,0,7.035779032368242,16,3,1,1
TX003462,USR0028,2025-09-25,Gas,305.22,USD,Servicios,Sí,Débito automático,gas,2025,9,3,3,0,5.724303797876949,3,1,1,0
TX004088,USR0034,2026-04-26,Gasto eventual,406.45,USD,Otros,Sí,Billetera virtual,gasto eventual,2026,4,2,6,1,6.009918225766229,14,2,1,0
TX000510,USR0082,2026-03-28,Taxi,97.71,USD,Transporte,No,Efectivo,taxi,2026,3,1,5,1,4.5921862584297966,4,1,0,0
TX002850,USR0070,2025-10-04,Concierto,240.3,USD,Ocio,No,Tarjeta de crédito,concierto,2025,10,4,5,1,5.4860409726309864,9,1,0,0
TX002671,USR0070,2026-05-15,Videojuego,96.18,USD,Ocio,No,Tarjeta de débito,videojuego,2026,5,2,4,0,4.576564928977757,10,1,0,0
TX000151,USR0068,2026-07-14,Almuerzo,66.86,USD,Alimentación,No,Transferencia bancaria,almuerzo,2026,7,3,1,0,4.2174467593560845,8,1,0,0
TX003800,USR0065,2025-09-07,Artículos personales,404.7,USD,Compras,No,Tarjeta de crédito,articulos personales,2025,9,3,6,1,6.005613970212401,20,2,0,0
TX004045,USR0089,2026-05-08,Compra no identificada,500.0,USD,Otros,Sí,Pago con QR,compra no identificada,2026,5,2,4,0,6.2166061010848646,22,3,1,0
TX004036,USR0071,2025-09-04,Cargo administrativo,317.55,USD,Otros,No,Transferencia bancaria,cargo administrativo,2025,9,3,3,0,5.763779448562497,20,2,0,1
TX002203,USR0071,2026-05-22,Curso online,390.36,USD,Educación,No,Débito automático,curso online,2026,5,2,4,0,5.969627852498808,12,2,0,1
TX001260,USR0075,2026-05-02,Medicamentos,26.69,USD,Salud,No,Tarjeta de crédito,medicamentos,2026,5,2,5,1,3.3210713371828704,12,1,0,0
TX004150,USR0052,2025-08-17,Otro gasto,254.86,USD,Otros,No,Débito automático,otro gasto,2025,8,3,6,1,5.544630419888889,10,2,0,1
TX000372,USR0075,2025-11-14,Compra de alimentos,106.32,USD,Alimentación,No,Pago con QR,compra de alimentos,2025,11,4,4,0,4.675815025557423,19,3,0,0
TX003501,USR0072,2025-08-15,Compra de herramientas,539.89,USD,Compras,No,Transferencia bancaria,compra de herramientas,2025,8,3,4,0,6.293215931000806,22,3,0,0
TX001610,USR0084,2025-11-11,Materiales de construcción,1166.15,USD,Vivienda,No,Pago con QR,materiales de construccion,2025,11,4,1,0,7.062320158731049,26,3,0,1
TX000393,USR0098,2025-12-09,Comida a domicilio,30.83,USD,Alimentación,No,Pago con QR,comida a domicilio,2025,12,4,1,0,3.4604092412940015,18,3,0,0
TX002490,USR0093,2025-11-08,Papelería,432.42,USD,Educación,No,Tarjeta de crédito,papeleria,2025,11,4,5,1,6.071707234784185,9,1,0,1
TX000665,USR0059,2025-11-09,Mantenimiento del vehículo,98.15,USD,Transporte,No,Pago con QR,mantenimiento del vehiculo,2025,11,4,6,1,4.5966338549658055,26,3,0,0
TX004271,USR0077,2025-10-01,Cargo administrativo,488.29,USD,Otros,No,Pago con QR,cargo administrativo,2025,10,4,2,0,6.192955360726739,20,2,0,0
TX002876,USR0085,2026-06-30,Salida recreativa,47.76,USD,Ocio,Sí,Efectivo,salida recreativa,2026,6,2,1,0,3.8869103046130706,17,2,1,0
TX003943,USR0098,2025-11-23,Compra para mascotas,95.22,USD,Compras,No,Efectivo,compra para mascotas,2025,11,4,6,1,4.5666372362713075,20,3,0,0
TX000474,USR0009,2026-05-18,Verdulería,200.0,USD,Alimentación,No,Débito automático,verduleria,2026,5,2,0,0,5.303304908059076,10,1,0,0
TX001024,USR0046,2026-06-15,Lentes,500.0,USD,Salud,No,Pago con QR,lentes,2026,6,2,0,0,6.2166061010848646,6,1,0,0
TX002449,USR0005,2026-07-09,Material de estudio,369.29,USD,Educación,No,Tarjeta de débito,material de estudio,2026,7,3,3,0,5.914286482423947,19,3,0,1
TX001410,USR0023,2025-10-21,Farmacia,35.31,USD,Salud,No,Efectivo,farmacia,2025,10,4,1,0,3.5920931854262443,8,1,0,0
TX001590,USR0086,2026-06-27,Compra de muebles,2000.0,USD,Vivienda,No,Tarjeta de débito,compra de muebles,2026,6,2,5,1,7.601402334583733,17,3,0,1
TX003083,USR0078,2025-12-03,Gas,45.73,USD,Servicios,Sí,Efectivo,gas,2025,12,4,2,0,3.844386356712335,3,1,1,0
TX003110,USR0082,2025-10-02,Servicio de internet,119.47,USD,Servicios,Sí,Tarjeta de débito,servicio de internet,2025,10,4,3,0,4.791400759278761,20,3,1,0
TX001037,USR0085,2026-03-12,Seguro de salud,17.45,USD,Salud,Sí,Billetera virtual,seguro de salud,2026,3,1,3,0,2.915064370486536,15,3,1,0
TX001944,USR0099,2025-11-06,Materiales de construcción,180.12,USD,Vivienda,No,Tarjeta de crédito,materiales de construccion,2025,11,4,3,0,5.199159795014818,26,3,0,0
TX000457,USR0013,2025-08-09,Verdulería,200.0,USD,Alimentación,No,Transferencia bancaria,verduleria,2025,8,3,5,1,5.303304908059076,10,1,0,0
TX001966,USR0095,2026-07-05,Materiales de construcción,2000.0,USD,Vivienda,No,Efectivo,materiales de construccion,2026,7,3,6,1,7.601402334583733,26,3,0,1
TX002835,USR0038,2026-01-10,Concierto,268.23,USD,Ocio,No,Tarjeta de crédito,concierto,2026,1,1,5,1,5.59556603286903,9,1,0,0
TX001765,USR0084,2026-04-26,Alquiler,623.32,USD,Vivienda,Sí,Tarjeta de débito,alquiler,2026,4,2,6,1,6.436663057434746,8,1,1,1
TX002025,USR0082,2026-07-12,Cuota educativa,566.95,USD,Educación,Sí,Transferencia bancaria,cuota educativa,2026,7,3,6,1,6.34203338667743,15,2,1,1
TX001614,USR0011,2025-11-15,Hipoteca,223.81,USD,Vivienda,Sí,Efectivo,hipoteca,2025,11,4,5,1,5.415255601015918,8,1,1,0
TX003247,USR0028,2026-03-04,Electricidad,139.24,USD,Servicios,Sí,Efectivo,electricidad,2026,3,1,2,0,4.943355240612979,12,1,1,0
TX004406,USR0017,2026-01-21,Otro gasto,500.0,USD,Otros,No,Pago con QR,otro gasto,2026,1,1,2,0,6.2166061010848646,10,2,0,0
TX000789,USR0075,2026-05-07,Viaje por aplicación,16.01,USD,Transporte,No,Débito automático,viaje por aplicacion,2026,5,2,3,0,2.8338014064077703,20,3,0,0
TX001066,USR0100,2026-02-03,Terapia,500.0,USD,Salud,No,Tarjeta de crédito,terapia,2026,2,1,1,0,6.2166061010848646,7,1,0,1
TX004254,USR0024,2025-11-20,Otro gasto,134.45,USD,Otros,No,Tarjeta de débito,otro gasto,2025,11,4,3,0,4.908602568531104,10,2,0,0
TX000691,USR0004,2025-08-13,Estacionamiento,154.85,USD,Transporte,Sí,Transferencia bancaria,estacionamiento,2025,8,3,2,0,5.048894006213346,15,1,1,0
TX000890,USR0079,2026-03-25,Pasaje de autobús,125.49,USD,Transporte,No,Débito automático,pasaje de autobus,2026,3,1,2,0,4.84016325365945,17,3,0,0
TX000944,USR0062,2025-11-13,Combustible,171.54,USD,Transporte,No,Transferencia bancaria,combustible,2025,11,4,3,0,5.1506290936484325,11,1,0,0
TX001619,USR0099,2026-06-18,Reparación del hogar,640.14,USD,Vivienda,Sí,Tarjeta de débito,reparacion del hogar,2026,6,2,3,0,6.463247841809304,20,3,1,1
TX002476,USR0025,2026-06-03,Papelería,1000.0,USD,Educación,Sí,Débito automático,papeleria,2026,6,2,2,0,6.90875477931522,9,1,1,1
TX004445,USR0012,2026-05-08,Otro gasto,500.0,USD,Otros,No,Efectivo,otro gasto,2026,5,2,4,0,6.2166061010848646,10,2,0,0
TX002062,USR0083,2026-03-13,Plataforma educativa,89.7,USD,Educación,Sí,Débito automático,plataforma educativa,2026,3,1,4,0,4.507557357121091,20,2,1,0
TX002732,USR0041,2025-11-01,Entrada de cine,188.37,USD,Ocio,Sí,Tarjeta de crédito,entrada de cine,2025,11,4,5,1,5.243702773274814,15,3,1,0
TX002964,USR0038,2025-09-29,Actividad recreativa,159.02,USD,Ocio,No,Tarjeta de débito,actividad recreativa,2025,9,3,0,0,5.075298807421978,20,2,0,0
TX003574,USR0065,2025-09-03,Compra para mascotas,427.52,USD,Compras,Sí,Efectivo,compra para mascotas,2025,9,3,2,0,6.060337411394357,20,3,1,0
TX003161,USR0046,2025-09-15,Telefonía móvil,46.64,USD,Servicios,Sí,Pago con QR,telefonia movil,2025,9,3,0,0,3.8636727444870993,15,2,1,0
TX002760,USR0074,2025-12-08,Actividad recreativa,287.78,USD,Ocio,No,Tarjeta de crédito,actividad recreativa,2025,12,4,0,0,5.665665152543073,20,2,0,0
TX002590,USR0084,2026-06-21,Videojuego,125.2,USD,Ocio,No,Transferencia bancaria,videojuego,2026,6,2,6,1,4.837867950107113,10,1,0,0
TX000660,USR0015,2025-09-26,Pasaje de tren,32.98,USD,Transporte,No,Efectivo,pasaje de tren,2025,9,3,4,0,3.525772116243786,14,3,0,0
